Passage;bTau;bGal;DoublingTime
6;;;32,9
8;-0,11085;10,2;
9;-0,160755;;
10;-0,152115;;
11;0,057635;;
12;0,133175;35;
13;-0,0083675;;
16;0,312085;66,6;61,2
17;-0,026935;;
