Cell;Passage;bTau;bGal;DoublingTime
DF2;19;0,1979;;
DF2;19;0,2181;;
DF2;20;0,2521;;49,7
DF2;20;0,2315;;49,7
DF2;20;0,2569;;49,7
DF2;20;0,1789;;49,7
DF2;20;0,2378;;49,7
DF2;20;0,2867;;49,7
DF2;20;0,1724;;49,7
DF2;20;0,2393;;49,7
DF2;20;0,0047;;49,7
DF2;20;0,1995;;49,7
DF2;20;0,2088;;49,7
DF2;20;0,1887;;49,7
DF2;20;0,2076;;49,7
DF2;20;0,1969;;49,7
DF2;20;0,1698;;49,7
DF2;20;0,0873;;49,7
DF2;20;0,2159;;49,7
DF2;20;0,2055;;49,7
DF2;20;0,0422;;49,7
DF2;20;0,1976;;49,7
DF2;21;0,3052;;
DF2;21;0,4207;;
DF2;21;0,34;;
DF2;21;0,4335;;
DF2;21;0,4158;;
DF2;21;0,2985;;
DF2;21;0,2321;;
DF2;21;0,3392;;
DF2;21;0,1466;;
DF2;21;0,2576;;
DF2;21;0,3151;;
DF2;21;0,2033;;
DF2;21;0,2404;;
DF2;21;0,1815;;
DF2;21;0,1797;;
DF2;21;0,3465;;
DF2;21;0,4066;;
DF2;21;0,3853;;
DF2;21;0,324;;
DF2;21;0,374;;
DF2;22;0,4976;40,6;
DF2;22;0,4131;40,6;
DF2;22;0,4069;40,6;
DF2;22;0,3568;40,6;
DF2;22;0,366;40,6;
DF2;22;0,3576;40,6;
DF2;22;0,3558;40,6;
DF2;22;0,3929;40,6;
DF2;22;0,4707;40,6;
DF2;22;0,3593;40,6;
DF2;22;0,4365;40,6;
DF2;22;0,3892;40,6;
DF2;22;0,3572;40,6;
DF2;22;0,5175;40,6;
DF2;22;0,459;40,6;
DF2;22;0,4183;40,6;
DF2;22;0,3525;40,6;
DF2;22;0,4204;40,6;
DF2;22;0,354;40,6;
DF2;22;0,4051;40,6;
DF2;23;0,3419;;
DF2;23;0,3842;;
DF2;23;0,3552;;
DF2;23;0,3127;;
DF2;23;0,2441;;
DF2;23;0,2769;;
DF2;23;0,4059;;
DF2;23;0,4274;;
DF2;23;0,37;;
DF2;23;0,2611;;
DF2;23;0,3489;;
DF2;23;0,3507;;
DF2;23;0,2922;;
DF2;23;0,3648;;
DF2;23;0,2801;;
DF2;23;0,357;;
DF2;23;0,3281;;
DF2;23;0,2859;;
DF2;23;0,3429;;
DF2;23;0,3582;;
DF2;24;0,2569;;
DF2;24;0,2606;;
DF2;24;0,2538;;
DF2;24;0,2873;;
DF2;24;0,3168;;
DF2;24;0,2846;;
DF2;24;0,2485;;
DF2;24;0,2758;;
DF2;24;0,2211;;
DF2;24;0,2207;;
DF2;24;0,2294;;
DF2;24;0,2783;;
DF2;24;0,1865;;
DF2;24;0,2896;;
DF2;24;0,3041;;
DF2;24;0,2559;;
DF2;24;0,3139;;
DF2;24;0,2291;;
DF2;24;0,2488;;
DF2;24;0,211;;
DF2;25;-0,1067;;
DF2;25;0,1585;;
DF2;25;0,031;;
DF2;25;0,2149;;
DF2;25;0,2719;;
DF2;25;0,2539;;
DF2;25;0,2407;;
DF2;25;0,085;;
DF2;25;-0,1288;;
DF2;25;-0,1835;;
DF2;25;-0,0942;;
DF2;25;-0,19;;
DF2;25;-0,0361;;
DF2;25;0,2235;;
DF2;25;0,2042;;
DF2;25;0,2388;;
DF2;25;0,0753;;
DF2;25;0,2043;;
DF2;25;-0,0139;;
DF2;25;-0,2068;;
DF2;26;0,1191;49,2;
DF2;26;0,2323;49,2;
DF2;26;0,0663;49,2;
DF2;26;0,1268;49,2;
DF2;26;0,3063;49,2;
DF2;26;0,2124;49,2;
DF2;26;0,2407;49,2;
DF2;26;0,209;49,2;
DF2;26;0,1097;49,2;
DF2;26;0,0939;49,2;
DF2;26;0,0889;49,2;
DF2;26;0,0345;49,2;
