Passage;bTau;bGal;DoublingTime
6;;0;26,8
9;0,24699;5,3;
13;;15;33,9
15;0,508307692;18,98;
20;;39;
25;;36;
28;0,238205263;40,17;40,3
36;0,056691667;52,02;
38;;57,4;
