Passage;bTau;bGal;DoublingTime
12;0,0478;35;53,11428571
12;0,1668;35;53,11428571
12;0,0721;35;53,11428571
12;0,2701;35;53,11428571
12;0,1124;35;53,11428571
12;0,1021;35;53,11428571
13;-0,0573;50,8;57,15714286
13;-0,0782;50,8;57,15714286
13;-0,0172;50,8;57,15714286
13;0,0465;50,8;57,15714286
13;0,0288;50,8;57,15714286
13;-0,0403;50,8;57,15714286
13;0,0131;50,8;57,15714286
13;-0,0859;50,8;57,15714286
13;-0,0581;50,8;57,15714286
13;-0,0568;50,8;57,15714286
13;0,1115;50,8;57,15714286
13;0,032;50,8;57,15714286
13;-0,0687;50,8;57,15714286
13;-0,1154;50,8;57,15714286
13;-0,0097;50,8;57,15714286
13;-0,0726;50,8;57,15714286
13;0,0172;50,8;57,15714286
13;-0,0657;50,8;57,15714286
13;-0,1338;50,8;57,15714286
13;-0,111;50,8;57,15714286
13;-0,0599;50,8;57,15714286
13;0,2413;50,8;57,15714286
13;0,1328;50,8;57,15714286
13;0,0283;50,8;57,15714286
13;0,0624;50,8;57,15714286
13;-0,0138;50,8;57,15714286
13;-0,0294;50,8;57,15714286
13;-0,0196;50,8;57,15714286
13;0,042;50,8;57,15714286
13;0,0457;50,8;57,15714286
13;-0,1039;50,8;57,15714286
13;0,0057;50,8;57,15714286
13;0,1313;50,8;57,15714286
13;0,0966;50,8;57,15714286
13;-0,0405;50,8;57,15714286
13;-0,0728;50,8;57,15714286
13;0,1026;50,8;57,15714286
13;-0,0137;50,8;57,15714286
13;-0,0236;50,8;57,15714286
13;-0,1246;50,8;57,15714286
16;0,181;66,6;61,2
16;0,4098;66,6;61,2
16;0,4163;66,6;61,2
16;0,3947;66,6;61,2
16;0,2972;66,6;61,2
16;0,3761;66,6;61,2
16;0,352;66,6;61,2
16;0,3857;66,6;61,2
16;0,4084;66,6;61,2
16;0,3486;66,6;61,2
16;0,2653;66,6;61,2
16;0,3209;66,6;61,2
16;0,2496;66,6;61,2
16;0,3818;66,6;61,2
16;0,3445;66,6;61,2
16;0,1841;66,6;61,2
16;0,2941;66,6;61,2
16;0,1937;66,6;61,2
16;0,2213;66,6;61,2
16;0,2166;66,6;61,2
17;0,0107;82,4;65,24285714
17;-0,0524;82,4;65,24285714
17;0,0184;82,4;65,24285714
17;-0,066;82,4;65,24285714
17;-0,038;82,4;65,24285714
17;-0,0998;82,4;65,24285714
17;-0,0601;82,4;65,24285714
17;0,0591;82,4;65,24285714
17;-0,0323;82,4;65,24285714
17;-0,0319;82,4;65,24285714
17;0,0127;82,4;65,24285714
17;-0,0454;82,4;65,24285714
17;-0,103;82,4;65,24285714
17;-0,0181;82,4;65,24285714
17;0,0264;82,4;65,24285714
17;-0,0594;82,4;65,24285714
17;-0,0156;82,4;65,24285714
17;0,0121;82,4;65,24285714
17;0,0067;82,4;65,24285714
17;-0,0628;82,4;65,24285714
