"","Passage","bTau","bGal","DoublingTime"
"1",6,0.116331154,0,26.8
"2",9,0.24699,5.3,30.35
"3",13,0.377648846,15,33.9
"4",15,0.508307692,18.98,35.5
"5",20,0.418273549,39,37.1
"6",25,0.328239406,36,38.7
"7",28,0.238205263,40.17,40.3
"8",36,0.056691667,52.02,41.9
"9",38,-0.124821929,57.4,43.5
