"","Passage","bTau","bGal","DoublingTime"
"1",6,-0.060945,4,32.9
"2",8,-0.11085,10.2,36.9428571428571
"3",9,-0.160755,16.4,40.9857142857143
"4",10,-0.152115,22.6,45.0285714285714
"5",11,0.057635,28.8,49.0714285714286
"6",12,0.133175,35,53.1142857142857
"7",13,-0.0083675,50.8,57.1571428571429
"8",16,0.312085,66.6,61.2
"9",17,-0.026935,82.4,65.2428571428571
