Passage;bTau;bGal;DoublingTime
6;;;35
8;0,38375;4;
9;0,39415;;
10;0,32088;;
11;0,280825;;
12;0,22891;;
13;0,389875;21,6;
14;0,313285;;
15;0,348405;;
16;0,350665;;
17;0,30051;;
18;0,40995;;
19;0,210425;;
20;0,189005;;49,7
21;0,30728;;
22;0,40432;40,6;
23;0,33441;;
24;0,258635;;
25;0,0621;;
26;0,13462;49,2;
